2023/6/15,120.0,63.0,0.0,183.0,454.18,11.5,35.0
2023/6/14,120.0,61.0,0.0,181.0,411.86,12.0,34.0
2023/6/13,120.0,64.0,0.0,184.0,446.6,11.5,33.0
2023/6/12,120.0,64.0,0.0,184.0,453.9,11.5,33.0
2023/6/11,120.0,63.0,0.0,183.0,454.9,11.5,32.0
2023/6/10,120.0,65.0,0.0,185.0,435.5,11.5,30.0
2023/6/9,120.0,64.0,0.0,184.0,437.46,11.5,31.0
2023/6/8,120.0,60.0,0.0,180.0,431.7,11.5,31.0
2023/6/7,120.0,59.0,0.0,179.0,403.94,12.5,30.0
2023/6/6,120.0,59.0,0.0,179.0,440.46,11.5,30.0
2023/6/5,120.0,59.0,0.0,179.0,442.26,11.5,30.0
2023/6/4,120.0,60.0,0.0,180.0,441.54,11.5,33.0
2023/6/3,120.0,60.0,0.0,180.0,415.68,12.0,32.0
2023/6/2,120.0,60.0,0.0,180.0,414.78,12.0,29.0
2023/6/1,120.0,61.0,0.0,181.0,394.8,13.5,30.0
2023/5/30,120.0,61.0,0.0,181.0,355.76,13.5,30.0
2023/5/29,120.0,61.0,0.0,181.0,369.68,13.5,30.0
2023/5/28,120.0,62.0,0.0,182.0,391.9,12.5,31.0
2023/5/27,120.0,62.0,0.0,182.0,410.84,12.5,32.0
2023/5/26,120.0,62.0,0.0,182.0,405.96,12.0,30.0
2023/5/25,120.0,60.0,0.0,180.0,429.2,12.0,31.0
2023/5/24,120.0,60.0,0.0,180.0,395.42,12.5,31.0
2023/5/23,120.0,61.0,0.0,181.0,386.26,13.5,30.0
2023/5/22,120.0,62.0,0.0,182.0,400.06,13.0,29.0
2023/5/21,120.0,64.0,0.0,184.0,401.1,13.0,29.0
2023/5/20,120.0,64.0,0.0,184.0,402.32,12.5,28.0
2023/5/19,120.0,64.0,0.0,184.0,395.44,13.0,28.0
2023/4/31,120.0,67.0,0.0,187.0,369.6,14.5,30.0
2023/4/30,120.0,66.0,0.0,186.0,376.92,14.5,29.0
2023/4/29,120.0,66.0,0.0,186.0,378.04,14.0,27.0
2023/4/28,120.0,61.0,0.0,181.0,415.02,13.0,34.0
2023/4/27,120.0,61.0,0.0,181.0,395.6,14.0,40.0
2023/4/26,120.0,67.0,0.0,187.0,356.18,16.0,30.0
2023/4/25,120.0,71.0,0.0,191.0,355.22,15.5,27.0
2023/4/24,120.0,69.0,0.0,189.0,381.96,15.0,34.0
2023/4/23,120.0,68.0,0.0,188.0,365.1,15.0,30.0
2023/4/22,120.0,65.0,0.0,185.0,358.08,15.0,33.0
2023/4/21,120.0,65.0,0.0,185.0,335.68,15.0,30.0
2023/5/18,120.0,63.0,0.0,183.0,395.66,13.0,29.0
2023/5/17,120.0,61.0,0.0,181.0,418.24,13.0,37.0
2023/5/16,120.0,65.0,0.0,185.0,356.98,14.5,32.0
2023/5/15,120.0,67.0,0.0,187.0,372.58,14.0,27.0
2023/5/14,120.0,63.0,0.0,183.0,396.16,13.0,28.0
2023/5/13,120.0,64.0,0.0,184.0,413.2,13.5,32.0
2023/5/12,120.0,65.0,0.0,185.0,390.36,13.5,28.0
2023/5/11,120.0,64.0,0.0,184.0,391.82,13.0,28.0
